routine,canonical_name,cases,mean_cycles,min_cycles,max_cycles,alias_of
SMUL16_REPAIRED,,4457,252.32488220776307,230,293,
UDIV32_32,div_u32_u32_u32_32,6801,401.556389,90,2285,
UMOD32_32,mod_u32_u32_u32,6801,401.556389,90,2285,UDIV32_32
SDIV32_32,div_s32_s32_s32_32,6633,553.098146,75,2384,
SMOD32_32,mod_s32_s32_s32,6633,553.098146,75,2384,SDIV32_32
UMUL16_SHR8,mul_u16_u16_u24_shr8,5000,266.9656,255,290,
SMUL16_SHR8,mul_s16_s16_s24_shr8,4361,293.4113735381793,271,334,
UMUL32_SHR16,mul_u32_u32_u48_shr16,4361,779.876404494382,717,896,
SMUL32_SHR16,mul_s32_s32_s48_shr16,4361,812.9988534739739,725,938,
UDIV16_SHL8,div_u16_u16_u24_16_shl8,4753,764.129182,272,1849,
SDIV16_SHL8,div_s16_s16_s24_16_shl8,4585,834.061287,266,1908,
URECIP16_Q16,recip_u16_u24_q16,65536,118.523834,41,2138,
SIN8,sin_u8_s8,256,23.0,23,23,
COS8,cos_u8_s8,256,23.0,23,23,
SINCOS8,sincos_u8_s8_s8,256,31.0,31,31,
ATAN2_8,atan2_s8_s8_u8,65536,44.96281433105469,29,47,
ISQRT16,isqrt_u16_u16,65536,205.76058959960938,193,246,
ISQRT32,isqrt_u32_u16,4130,1198.619612590799,1052,1428,
DIST8_FAST,dist_s8_s8_u8_fast,65536,79.57003784179688,64,95,
DIST8_ACCURATE,dist_s8_s8_u8_accurate,65536,85.57003784179688,70,101,
VEC2_NORMALIZE_Q8_8,normalize_s16_s16_s16_s16_q8_8_to_q1_15,107396,189.260316957801,127,323,
